permno,date,ret,prc,vol,shrout,cfacpr,cfacshr,ticker,adj_prc,adj_ret,adj_vol,adj_shrout,mktcap
86211,2018-01-09,-0.002635,136.25,55116.0,9412.0,10.0,10.0,MSTR,13.625,-0.002635,55116.0,94120.0,1282385.0
86211,2018-01-10,0.002716,136.62,42774.0,9412.0,10.0,10.0,MSTR,13.662,0.002716,42774.0,94120.0,1285867.4400000002
86211,2018-01-11,0.012736,138.36,58212.0,9412.0,10.0,10.0,MSTR,13.836000000000002,0.012736,58212.0,94120.0,1302244.3200000003
86211,2018-01-12,0.010046,139.75,53691.0,9412.0,10.0,10.0,MSTR,13.975,0.010046,53691.0,94120.0,1315327.0
86211,2018-01-16,-0.010304,138.31,63178.0,9412.0,10.0,10.0,MSTR,13.831,-0.010304,63178.0,94120.0,1301773.72
86211,2018-01-17,0.009327,139.60001,51836.0,9412.0,10.0,10.0,MSTR,13.960001,0.009327,51836.0,94120.0,1313915.29412
86211,2018-01-18,-0.005372,138.85001,71911.0,9412.0,10.0,10.0,MSTR,13.885000999999999,-0.005372,71911.0,94120.0,1306856.29412
86211,2018-01-19,0.01534,140.98,72516.0,9412.0,10.0,10.0,MSTR,14.097999999999999,0.01534,72516.0,94120.0,1326903.76
86211,2018-01-22,-0.012484,139.22,56986.0,9412.0,10.0,10.0,MSTR,13.922,-0.012484,56986.0,94120.0,1310338.6400000001
86211,2018-01-23,-0.000862,139.10001,35209.0,9412.0,10.0,10.0,MSTR,13.910001,-0.000862,35209.0,94120.0,1309209.29412
86211,2018-01-24,-0.005823,138.28999,89683.0,9412.0,10.0,10.0,MSTR,13.828999,-0.005823,89683.0,94120.0,1301585.38588
86211,2018-01-25,-0.006942,137.33,175391.0,9412.0,10.0,10.0,MSTR,13.733,-0.006942,175391.0,94120.0,1292549.96
86211,2018-01-26,0.00335,137.78999,214468.0,9412.0,10.0,10.0,MSTR,13.778998999999999,0.00335,214468.0,94120.0,1296879.38588
86211,2018-01-29,0.001161,137.95,99970.0,9412.0,10.0,10.0,MSTR,13.794999999999998,0.001161,99970.0,94120.0,1298385.4
86211,2018-01-30,0.003117,138.38,90151.0,9412.0,10.0,10.0,MSTR,13.838,0.003117,90151.0,94120.0,1302432.5599999998
86211,2018-01-31,-0.004697,137.73,75370.0,9412.0,10.0,10.0,MSTR,13.773,-0.004697,75370.0,94120.0,1296314.76
86211,2018-02-01,0.010237,139.14,103283.0,9412.0,10.0,10.0,MSTR,13.913999999999998,0.010237,103283.0,94120.0,1309585.6799999997
86211,2018-02-02,-0.02422,135.77,65294.0,9412.0,10.0,10.0,MSTR,13.577000000000002,-0.02422,65294.0,94120.0,1277867.2400000002
86211,2018-02-05,-0.030787,131.59,74842.0,9412.0,10.0,10.0,MSTR,13.159,-0.030787,74842.0,94120.0,1238525.08
86211,2018-02-06,0.010715,133.0,79804.0,9412.0,10.0,10.0,MSTR,13.3,0.010715,79804.0,94120.0,1251796.0
86211,2018-02-07,0.00391,133.52,66804.0,9412.0,10.0,10.0,MSTR,13.352,0.00391,66804.0,94120.0,1256690.24
86211,2018-02-08,-0.014904,131.53,120766.0,9412.0,10.0,10.0,MSTR,13.153,-0.014904,120766.0,94120.0,1237960.36
86211,2018-02-09,-0.006919,130.62,94157.0,9412.0,10.0,10.0,MSTR,13.062000000000001,-0.006919,94157.0,94120.0,1229395.4400000002
86211,2018-02-12,0.017226,132.87,171640.0,9412.0,10.0,10.0,MSTR,13.287,0.017226,171640.0,94120.0,1250572.4400000002
86211,2018-02-13,0.012343,134.50999,59109.0,9412.0,10.0,10.0,MSTR,13.450999,0.012343,59109.0,94120.0,1266008.0258799999
86211,2018-02-14,0.009813,135.83,147683.0,9412.0,10.0,10.0,MSTR,13.583000000000002,0.009813,147683.0,94120.0,1278431.9600000002
86211,2018-02-15,0.014872,137.85001,84775.0,9412.0,10.0,10.0,MSTR,13.785001,0.014872,84775.0,94120.0,1297444.29412
