PERMNO,date,TICKER,COMNAM,CFACPR
93002,2020-04-15,AVGO,BROADCOM INC,10
93002,2020-04-16,AVGO,BROADCOM INC,10
93002,2020-04-17,AVGO,BROADCOM INC,10
93002,2020-04-20,AVGO,BROADCOM INC,10
93002,2020-04-21,AVGO,BROADCOM INC,10
93002,2020-04-22,AVGO,BROADCOM INC,10
93002,2020-04-23,AVGO,BROADCOM INC,10
93002,2020-04-24,AVGO,BROADCOM INC,10
93002,2020-04-27,AVGO,BROADCOM INC,10
93002,2020-04-28,AVGO,BROADCOM INC,10
93002,2020-04-29,AVGO,BROADCOM INC,10
93002,2020-04-30,AVGO,BROADCOM INC,10
93002,2020-05-01,AVGO,BROADCOM INC,10
93002,2020-05-04,AVGO,BROADCOM INC,10
93002,2020-05-05,AVGO,BROADCOM INC,10
93002,2020-05-06,AVGO,BROADCOM INC,10
93002,2020-05-07,AVGO,BROADCOM INC,10
93002,2020-05-08,AVGO,BROADCOM INC,10
93002,2020-05-11,AVGO,BROADCOM INC,10
93002,2020-05-12,AVGO,BROADCOM INC,10
93002,2020-05-13,AVGO,BROADCOM INC,10
93002,2020-05-14,AVGO,BROADCOM INC,10
93002,2020-05-15,AVGO,BROADCOM INC,10
93002,2020-05-18,AVGO,BROADCOM INC,10
93002,2020-05-19,AVGO,BROADCOM INC,10
93002,2020-05-20,AVGO,BROADCOM INC,10
93002,2020-05-21,AVGO,BROADCOM INC,10
93002,2020-05-22,AVGO,BROADCOM INC,10
93002,2020-05-26,AVGO,BROADCOM INC,10
93002,2020-05-27,AVGO,BROADCOM INC,10
93002,2020-05-28,AVGO,BROADCOM INC,10
93002,2020-05-29,AVGO,BROADCOM INC,10
93002,2020-06-01,AVGO,BROADCOM INC,10
93002,2020-06-02,AVGO,BROADCOM INC,10
93002,2020-06-03,AVGO,BROADCOM INC,10
93002,2020-06-04,AVGO,BROADCOM INC,10
93002,2020-06-05,AVGO,BROADCOM INC,10
93002,2020-06-08,AVGO,BROADCOM INC,10
93002,2020-06-09,AVGO,BROADCOM INC,10
93002,2020-06-10,AVGO,BROADCOM INC,10
93002,2020-06-11,AVGO,BROADCOM INC,10
93002,2020-06-12,AVGO,BROADCOM INC,10
93002,2020-06-15,AVGO,BROADCOM INC,10
93002,2020-06-16,AVGO,BROADCOM INC,10
93002,2020-06-17,AVGO,BROADCOM INC,10
93002,2020-06-18,AVGO,BROADCOM INC,10
93002,2020-06-19,AVGO,BROADCOM INC,10
93002,2020-06-22,AVGO,BROADCOM INC,10
93002,2020-06-23,AVGO,BROADCOM INC,10
93002,2020-06-24,AVGO,BROADCOM INC,10
93002,2020-06-25,AVGO,BROADCOM INC,10
93002,2020-06-26,AVGO,BROADCOM INC,10
93002,2020-06-29,AVGO,BROADCOM INC,10
93002,2020-06-30,AVGO,BROADCOM INC,10
93002,2020-07-01,AVGO,BROADCOM INC,10
93002,2020-07-02,AVGO,BROADCOM INC,10
93002,2020-07-06,AVGO,BROADCOM INC,10
93002,2020-07-07,AVGO,BROADCOM INC,10
93002,2020-07-08,AVGO,BROADCOM INC,10
93002,2020-07-09,AVGO,BROADCOM INC,10
93002,2020-07-10,AVGO,BROADCOM INC,10
