train_period,val_period,ticker,date,exit_date,exdate,strike,r_long,r_hat,delta_long,delta_short,signal,signal_num,entry_premium,exit_premium,entry_date,trade_profit,trade_cost,trade_return,strike_key,call_exit_premium,put_exit_premium
2023-01 -> 2023-03,2023-04,AMZN,2023-04-20,2023-05-01,2023-05-19,105.0,-0.391919191919192,-0.1516872546013352,0.2123364588825427,0.0084934583553017,short,-1,9.9,6.02,2023-04-20,3.880000000000001,9.9,0.391919191919192,105.0,1.72,4.3
2023-01 -> 2023-03,2023-04,AMD,2023-04-20,2023-05-01,2023-05-19,90.0,-0.083116883116883,0.2576104623811563,0.2123364588825427,0.0084934583553017,long,1,9.625,8.825000000000001,2023-04-20,-0.7999999999999989,9.625,-0.083116883116883,90.0,4.425000000000001,4.4
2023-01 -> 2023-03,2023-04,AVGO,2023-04-20,2023-05-01,2023-05-19,63.0,-0.1536231884057971,-0.1574499622781851,0.2123364588825427,0.0084934583553017,short,-1,34.5,29.2,2023-04-20,5.300000000000001,34.5,0.1536231884057971,63.0,,
2023-01 -> 2023-03,2023-04,BABA,2023-04-20,2023-05-01,2023-05-19,90.0,-0.1014245014245013,-0.0877012925572503,0.2123364588825427,0.0084934583553017,short,-1,8.774999999999999,7.885,2023-04-20,0.8899999999999988,8.774999999999999,0.1014245014245013,90.0,1.21,6.675
2023-01 -> 2023-03,2023-04,COIN,2023-04-20,2023-05-01,2023-05-19,60.0,-0.0689165186500888,-0.0777101200997001,0.2123364588825427,0.0084934583553017,short,-1,14.075,13.105,2023-04-20,0.9700000000000006,14.075,0.0689165186500888,60.0,1.6549999999999998,11.45
2023-01 -> 2023-03,2023-04,MARA,2023-04-20,2023-05-01,2023-05-19,10.0,-0.1461675579322638,-0.025662038888502,0.2123364588825427,0.0084934583553017,short,-1,2.805,2.395,2023-04-20,0.4100000000000001,2.805,0.1461675579322638,10.0,0.565,1.83
2023-01 -> 2023-03,2023-04,AVGO,2023-04-21,2023-05-02,2023-05-19,63.0,-0.0680786686838123,-0.1320628326410113,0.2123364588825427,0.0084934583553017,short,-1,33.05,30.8,2023-04-21,2.2499999999999964,33.05,0.0680786686838123,63.0,,
2023-01 -> 2023-03,2023-04,TSLA,2023-04-21,2023-05-02,2023-05-19,165.0,-0.1897289586305279,-0.1935704808685154,0.2123364588825427,0.0084934583553017,short,-1,17.525000000000002,14.2,2023-04-21,3.325000000000003,17.525000000000002,0.1897289586305279,165.0,5.074999999999999,9.125
2023-01 -> 2023-03,2023-04,AAPL,2023-04-21,2023-05-02,2023-05-19,165.0,-0.0031250000000001,-0.084971088132417,0.2123364588825427,0.0084934583553017,short,-1,9.6,9.57,2023-04-21,0.0299999999999993,9.6,0.0031249999999999,165.0,6.7,2.87
2023-01 -> 2023-03,2023-04,NIO,2023-04-21,2023-05-02,2023-05-26,8.5,-0.0104895104895105,-0.2024483651206856,0.2123364588825427,0.0084934583553017,short,-1,1.4300000000000002,1.415,2023-04-21,0.0150000000000001,1.4300000000000002,0.0104895104895105,8.5,0.215,1.2
2023-01 -> 2023-03,2023-04,GOOGL,2023-04-21,2023-05-02,2023-05-19,105.0,-0.3400611620795108,-0.0144075855733049,0.2123364588825427,0.0084934583553017,short,-1,8.175,5.395,2023-04-21,2.780000000000001,8.175,0.3400611620795108,105.0,3.025,2.37
2023-01 -> 2023-03,2023-04,AAPL,2023-04-21,2023-05-02,2023-05-26,165.0,0.0119904076738609,-0.0398113480366237,0.2123364588825427,0.0084934583553017,short,-1,10.425,10.55,2023-04-21,-0.125,10.425,-0.0119904076738609,165.0,7.300000000000001,3.25
2023-01 -> 2023-03,2023-04,F,2023-04-21,2023-05-02,2023-05-26,12.0,-0.0772357723577235,-0.0959830938234126,0.2123364588825427,0.0084934583553017,short,-1,1.23,1.135,2023-04-21,0.0949999999999999,1.23,0.0772357723577235,12.0,0.52,0.615
2023-01 -> 2023-03,2023-04,INTC,2023-04-21,2023-05-02,2023-05-19,30.0,-0.3679417122040073,-0.0781106277489123,0.2123364588825427,0.0084934583553017,short,-1,2.745,1.735,2023-04-21,1.0100000000000002,2.745,0.3679417122040073,30.0,0.74,0.995
