ticker,date,exit_date,exdate,strike,strike_key,signal,alpha_call,alpha_put,call_entry_premium,put_entry_premium,call_exit_premium,put_exit_premium,weighted_entry,weighted_exit,trade_profit_w,trade_return_w
NIO,2023-04-14,2023-04-25,2023-05-12,9.5,9.5,short,0.3036958670593888,0.6963041329406112,0.565,0.77,0.095,1.68,1.335,2.0963143537745106,-0.7613143537745106,-0.5702729241756634
NIO,2023-04-14,2023-04-25,2023-05-19,10.0,10.0,short,0.5957429150458304,0.40425708495416957,0.48,1.1749999999999998,0.11499999999999999,2.1900000000000004,1.6549999999999998,1.4832051579069008,0.17179484209309903,0.10380352996561876
PLTR,2023-04-14,2023-04-25,2023-05-19,9.0,9.0,short,0.3721317019085957,0.6278682980914043,0.645,0.78,0.165,1.395,1.425,1.7358135675411093,-0.3108135675411092,-0.2181147842393749
RIVN,2023-04-14,2023-04-25,2023-05-19,12.5,12.5,short,0.4821036535480573,0.5178963464519427,1.865,0.935,0.88,1.34,2.8,2.7151777078812898,0.08482229211871006,0.030293675756682167
SOFI,2023-04-14,2023-04-25,2023-05-12,6.0,6.0,short,0.9140439738230919,0.08595602617690812,0.445,0.51,0.325,0.55,0.9550000000000001,0.7260462762499089,0.22895372375009115,0.23974211911004306
SOFI,2023-04-14,2023-04-25,2023-05-12,6.0,6.0,short,0.9140439738230919,0.08595602617690812,0.445,0.51,0.325,0.55,0.9550000000000001,0.7260462762499089,0.22895372375009115,0.23974211911004306
SOFI,2023-04-14,2023-04-25,2023-05-19,6.0,6.0,short,0.9572074564130141,0.04279254358698592,0.495,0.555,0.36,0.58,1.05,0.7779145636833236,0.2720854363166765,0.2591289869682633
SOFI,2023-04-14,2023-04-25,2023-05-19,6.0,6.0,short,0.9572074564130141,0.04279254358698592,0.495,0.555,0.36,0.58,1.05,0.7779145636833236,0.2720854363166765,0.2591289869682633
TSLA,2023-04-14,2023-04-25,2023-05-12,185.0,185.0,short,0.6975743506762159,0.30242564932378413,12.524999999999999,11.825,0.815,24.425,24.349999999999998,16.3160358202119,8.033964179788097,0.3299369273013592
TSLA,2023-04-14,2023-04-25,2023-05-12,185.0,185.0,short,0.6975743506762159,0.30242564932378413,12.524999999999999,11.825,0.815,24.425,24.349999999999998,16.3160358202119,8.033964179788097,0.3299369273013592
TSLA,2023-04-14,2023-04-25,2023-05-19,185.0,185.0,short,0.4227147867495171,0.5772852132504829,13.75,12.850000000000001,1.395,25.3,26.6,31.374348755509654,-4.774348755509653,-0.17948679531991174
TSLA,2023-04-14,2023-04-25,2023-05-19,185.0,185.0,short,0.4227147867495171,0.5772852132504829,13.75,12.850000000000001,1.395,25.3,26.6,31.374348755509654,-4.774348755509653,-0.17948679531991174
AMZN,2023-04-17,2023-04-26,2023-05-19,105.0,105.0,short,0.7038122247024202,0.2961877752975798,4.125,5.975,5.275,4.875,10.1,11.531028840678372,-1.4310288406783727,-0.14168602382954185
BABA,2023-04-17,2023-04-26,2023-05-19,95.0,95.0,short,0.39655227279965677,0.6034477272003432,5.95,4.025,0.6699999999999999,12.525,9.975000000000001,19.176570145358323,-9.201570145358321,-0.9224631724669995
COIN,2023-04-17,2023-04-26,2023-05-19,70.0,70.0,short,0.7332057839933761,0.2667942160066239,7.15,9.5,1.38,17.425,16.65,10.503995539673848,6.14600446032615,0.36912939701658565
MARA,2023-04-17,2023-04-26,2023-05-19,11.0,11.0,short,0.29688935282238915,0.7031106471776108,1.84,1.5,0.72,2.3,3.34,3.988885470318402,-0.6488854703184019,-0.19427708692167722
NFLX,2023-04-17,2023-04-26,2023-05-19,335.0,335.0,long,0.19039456439697672,0.8096054356030233,19.525,20.45,5.675,17.925,39.974999999999994,30.58010273517623,-9.394897264823765,-0.2350193186947784
NIO,2023-04-17,2023-04-26,2023-05-19,10.0,10.0,short,0.3539263773241509,0.6460736226758491,0.69,0.85,0.08499999999999999,2.385,1.54,2.858865552248932,-1.318865552248932,-0.8564062027590468
SOFI,2023-04-17,2023-04-26,2023-05-19,6.0,6.0,short,0.9294347198630408,0.07056528013695917,0.495,0.51,0.325,0.625,1.005,0.7001955359535318,0.3048044640464681,0.30328802392683396
BABA,2023-04-18,2023-04-27,2023-05-19,95.0,95.0,short,0.3263132852243796,0.6736867147756205,5.2,4.275,0.76,11.125,9.475000000000001,17.063084784978326,-7.588084784978324,-0.8008532754594536
F,2023-04-18,2023-04-27,2023-05-19,13.0,13.0,long,0.9438948773920056,0.056105122607994384,0.395,0.775,0.095,1.455,1.17,0.38884427609137834,-0.7811557239086215,-0.6676544648791638
GOOGL,2023-04-18,2023-04-27,2023-05-19,105.0,105.0,short,0.4746044955581096,0.5253955044418904,4.275,4.275,4.775,1.8849999999999998,8.55,6.513213984325874,2.036786015674127,0.23822058662855286
INTC,2023-04-18,2023-04-27,2023-05-19,32.0,32.0,long,0.44756628603373866,0.5524337139662614,1.395,1.56,0.605,2.775,2.955,3.4774451701271594,0.5224451701271593,0.1768003959821182
MARA,2023-04-18,2023-04-27,2023-05-19,12.0,12.0,short,0.4215315609203187,0.5784684390796813,1.5350000000000001,1.995,0.665,2.645,3.5300000000000002,3.351945998146119,0.17805400185388143,0.050440227154074056
META,2023-04-18,2023-04-27,2023-05-19,220.0,220.0,long,0.4947633829894195,0.5052366170105804,11.600000000000001,12.7,21.075,2.005,24.3,23.781315675925786,-0.5186843240742149,-0.021345033912519133
NFLX,2023-04-18,2023-04-27,2023-05-19,335.0,335.0,long,0.2361079548802003,0.7638920451197997,19.875,19.675,6.475,14.875,39.55,25.883508129847627,-13.66649187015237,-0.3455497312301484
PLTR,2023-04-18,2023-04-27,2023-05-19,9.0,9.0,short,0.8515950753894828,0.14840492461051724,0.56,0.775,0.165,1.3250000000000002,1.335,0.6736956744833854,0.6613043255166146,0.49535904533079744
RIVN,2023-04-18,2023-04-27,2023-05-19,12.5,12.5,long,0.16103790059085854,0.8389620994091415,1.8,0.8200000000000001,1.255,1.065,2.62,3.1489958359968067,0.5289958359968066,0.2019068076323689
TSLA,2023-04-18,2023-04-27,2023-05-19,185.0,185.0,long,0.14462366362433265,0.8553763363756673,12.55,12.100000000000001,1.07,25.549999999999997,24.650000000000002,44.826460970469505,20.176460970469503,0.818517686428783
AMZN,2023-04-19,2023-04-28,2023-05-19,105.0,105.0,short,0.6113082069762976,0.3886917930237024,4.824999999999999,5.125,3.525,2.925,9.95,6.6509992507047935,3.299000749295206,0.3315578642507745
MARA,2023-04-19,2023-04-28,2023-05-19,11.0,11.0,short,0.5589569670250798,0.4410430329749202,1.28,1.6949999999999998,0.815,1.7650000000000001,2.9749999999999996,2.4250878531074584,0.5499121468925412,0.18484441912354327
META,2023-04-19,2023-04-28,2023-05-19,215.0,215.0,long,0.6378550453671198,0.3621449546328802,12.8,11.3,26.674999999999997,0.9299999999999999,24.1,32.75394363923582,8.65394363923582,0.35908479830854023
MSFT,2023-04-19,2023-04-28,2023-05-19,290.0,290.0,short,0.4106401238893733,0.5893598761106267,8.75,9.55,19.6,1.55,18.3,18.583451360135804,-0.2834513601358033,-0.015489145362612202
NFLX,2023-04-19,2023-04-28,2023-05-19,325.0,325.0,short,0.3662320193751079,0.6337679806248921,12.275,12.75,13.15,7.325,25.025,18.930013345984534,6.0949866540154645,0.2435559102503682
NIO,2023-04-19,2023-04-28,2023-05-19,10.0,10.0,short,0.6764868834182638,0.3235131165817362,0.29000000000000004,1.455,0.08,2.18,1.745,1.1714723885646163,0.5735276114353838,0.32866911830107953
PLTR,2023-04-19,2023-04-28,2023-05-19,8.0,8.0,long,0.9489963041198023,0.05100369588019771,0.905,0.37,0.405,0.635,1.275,0.6530834627607551,-0.6219165372392448,-0.4877776762660744
AMD,2023-04-20,2023-05-01,2023-05-19,90.0,90.0,long,0.5013617903383784,0.49863820966162165,4.975,4.65,4.425000000000001,4.4,9.625,8.833483914149284,-0.7915160858507164,-0.08223543749098353
AMZN,2023-04-20,2023-05-01,2023-05-19,105.0,105.0,short,0.781984056862781,0.21801594313721895,4.5,5.4,1.72,4.3,9.9,4.677720022900506,5.222279977099494,0.5275030279898478
BABA,2023-04-20,2023-05-01,2023-05-19,90.0,90.0,short,0.20515109910631776,0.7948489008936822,4.925,3.8499999999999996,1.21,6.675,8.774999999999999,12.534954035543196,-3.7599540355431973,-0.4284847903752932
COIN,2023-04-20,2023-05-01,2023-05-19,60.0,60.0,short,0.42555401445619817,0.5744459855438018,7.275,6.8,1.6549999999999998,11.45,14.075,14.976863354444529,-0.9018633544445294,-0.06407554916124543
